day,time,value
2022-08-07,15,2.700000
2022-08-07,16,3.000000
2022-08-07,17,3.000000
2022-08-07,18,2.600000
2022-08-07,19,1.900000
2022-08-07,20,1.800000
2022-08-07,21,1.800000
2022-08-07,22,1.900000
2022-08-07,23,3.000000
2022-08-08,0,2.800000
2022-08-08,1,3.400000
2022-08-08,2,3.200000
2022-08-08,3,3.400000
2022-08-08,4,3.400000
2022-08-08,5,3.500000
2022-08-08,6,3.500000
2022-08-08,7,3.800000
2022-08-08,8,4.300000
2022-08-08,9,4.400000
2022-08-08,10,4.300000
2022-08-08,11,4.600000
2022-08-08,12,4.600000
2022-08-08,13,4.700000
2022-08-08,14,4.500000
2022-08-08,15,4.700000
2022-08-08,16,4.600000
2022-08-08,17,4.400000
2022-08-08,18,3.900000
2022-08-08,19,2.400000
2022-08-08,20,2.300000
2022-08-08,21,2.200000
2022-08-08,22,2.400000
2022-08-08,23,2.900000
2022-08-09,0,2.900000
2022-08-09,1,3.200000
2022-08-09,2,3.400000
2022-08-09,3,3.000000
2022-08-09,4,3.600000
2022-08-09,5,3.400000
2022-08-09,6,3.400000
2022-08-09,7,3.500000
2022-08-09,8,3.700000
2022-08-09,9,3.200000
2022-08-09,10,4.200000
2022-08-09,11,3.900000
2022-08-09,12,4.300000
2022-08-09,13,4.400000
2022-08-09,14,4.100000
2022-08-09,15,4.000000
2022-08-09,16,3.800000
2022-08-09,17,4.000000
2022-08-09,18,3.400000
2022-08-09,19,2.100000
2022-08-09,20,1.700000
2022-08-09,21,2.000000
2022-08-09,22,2.300000
2022-08-09,23,2.700000
2022-08-10,0,3.600000
2022-08-10,1,3.300000
2022-08-10,2,3.300000
2022-08-10,3,3.400000
2022-08-10,4,3.200000
2022-08-10,5,3.300000
2022-08-10,6,3.100000
2022-08-10,7,3.500000
2022-08-10,8,3.800000
2022-08-10,9,4.100000
2022-08-10,10,4.700000
2022-08-10,11,3.700000
2022-08-10,12,4.000000
2022-08-10,13,3.800000
